origin area unit,destination area unit,distance (kilometers),time (hours)
Arakura,Kaiwharawhara,19.956,3.991
Arakura,Karaka Bay-Worser Bay,32.377,6.475
Arakura,Karori East,27.81,5.562
Arakura,Karori North,26.127,5.225
Arakura,Karori Park,27.986,5.597
Arakura,Karori South,27.99,5.598
Arakura,Kelburn,23.857,4.771
Arakura,Kelson,13.06,2.612
Arakura,Khandallah Park-Broadmeadows,23.181,4.636
Arakura,Kilbirnie East,28.239,5.648
Arakura,Kilbirnie West-Hataitai South,27.204,5.441
Arakura,Kingston-Mornington,27.751,5.55
Arakura,Korokoro,13.224,2.645
Arakura,Lambton,23.572,4.714
Arakura,Lansdowne,128.816,25.763
Arakura,Linden,33.207,6.641
Arakura,Lyall Bay-Airport-Moa Point,29.873,5.975
Arakura,Maidstone,22.563,4.513
Arakura,Makara-Ohariu,33.475,6.695
Arakura,Mana-Camborne,51.814,10.364
Arakura,Mangatainoka,196.001,39.2
Arakura,Manuka,16.774,3.355
Arakura,Maoribank,26.41,5.282
Arakura,Martinborough,81.144,16.229
