AU name,AU name,Total_CycleTime,Total_Length
Johnsonville Central,Linden,33.7368500971,8996.493359237
Johnsonville Central,Crofton Downs,36.0864450628,9623.052016744
Johnsonville Central,Northland North,36.1463741955,9639.0331187996
Johnsonville Central,Lambton,36.4021892681,9707.2504714967
Johnsonville Central,Northland,37.1312860129,9901.6762701165
Johnsonville Central,Willis Street-Cambridge Terrace,37.2963234607,9945.6862561946
Johnsonville Central,Takapu,37.8510296681,10093.6079114874
Johnsonville Central,Kelburn,38.8296272175,10354.5672579929
Johnsonville Central,Porirua Central,39.3278389104,10487.4237094399
Johnsonville Central,Taitville,40.4703148874,10792.0839699748
Johnsonville Central,Aro Street-Nairn Street,40.7511305876,10866.9681567015
Johnsonville Central,Karori North,40.8433060729,10891.548286103
Johnsonville Central,Oriental Bay,40.8512969164,10893.6791776977
Johnsonville Central,Mt Victoria West,41.243686714,10998.3164570646
Johnsonville Central,Mt Cook-Wallace Street,41.7840573822,11142.4153019212
Johnsonville Central,Roseneath,45.2040564972,12054.4150659273
Johnsonville Central,Adelaide,46.1241336762,12299.7689803154
Johnsonville Central,Newtown West,46.4106596771,12376.1759138908
Johnsonville Central,Hataitai North,46.4799831725,12394.6621793427
Johnsonville Central,Vogeltown,46.5734808393,12419.5948904685
Johnsonville Central,Brooklyn,47.3112489056,12616.3330414966
Johnsonville Central,Vogeltown West,47.3670923039,12631.2246143838
Johnsonville Central,Karori Park,47.8149204911,12750.645464283
Johnsonville Central,Porirua East,48.5774005401,12953.973477356
Johnsonville Central,Kilbirnie West-Hataitai South,49.0875250137,13090.0066703265
Johnsonville Central,Brooklyn South,49.5118819372,13203.168516597
Johnsonville Central,Karori South,49.8204030535,13285.440814259
Johnsonville Central,Newtown East,50.0193999308,13338.5066482134
Johnsonville Central,Kingston-Mornington,50.8829631938,13568.7901850044
Johnsonville Central,Berhampore West,50.9288608529,13581.0295607815
Johnsonville Central,Ranui Heights,50.9949444123,13598.6518432735
Johnsonville Central,Berhampore East,51.2296111683,13661.2296448899
Johnsonville Central,Kilbirnie East,53.1112632168,14163.0035244895
Johnsonville Central,Cannons Creek North,53.8062041589,14348.3211090352
Johnsonville Central,Petone Central,54.9393613426,14650.4963580161
Johnsonville Central,Makara-Ohariu,55.1798291595,14714.6211092114
Johnsonville Central,Happy Valley-Owhiro Bay,56.4968171194,15065.817898497
Johnsonville Central,Cannons Creek South,56.6191232629,15098.4328701011
Johnsonville Central,Cannons Creek East,56.9872496266,15196.5999004231
Johnsonville Central,Island Bay East,57.1833196624,15248.8852433065
