TA,Market.Rent.Area,Property.Type,Bedrooms,2013.Q3
Auckland,Meadowbank,Total,2,407.3333333333
Auckland,Meadowbank,Total,3,598.125
Auckland,Meadowbank,Total,4,NA
Auckland,Meadowbank,Total,5+,NA
Auckland,Meadowbank,Total,Total,476.75
Auckland,Mission Bay/Orakei,Apartment,1,NA
Auckland,Mission Bay/Orakei,Apartment,2,NA
Auckland,Mission Bay/Orakei,Apartment,3,NA
Auckland,Mission Bay/Orakei,Apartment,4,NA
Auckland,Mission Bay/Orakei,Apartment,5+,NA
Auckland,Mission Bay/Orakei,Apartment,Total,NA
Auckland,Mission Bay/Orakei,Flat,1,NA
Auckland,Mission Bay/Orakei,Flat,2,428.3333333333
Auckland,Mission Bay/Orakei,Flat,3,NA
Auckland,Mission Bay/Orakei,Flat,4,NA
Auckland,Mission Bay/Orakei,Flat,5+,NA
Auckland,Mission Bay/Orakei,Flat,Total,430.2173913043
Auckland,Mission Bay/Orakei,House,1,NA
Auckland,Mission Bay/Orakei,House,2,500.5555555556
Auckland,Mission Bay/Orakei,House,3,713.5714285714
Auckland,Mission Bay/Orakei,House,4,815.7142857143
Auckland,Mission Bay/Orakei,House,5+,NA
Auckland,Mission Bay/Orakei,House,Total,668.3823529412
Auckland,Mission Bay/Orakei,Total,1,273.5714285714
Auckland,Mission Bay/Orakei,Total,2,465
Auckland,Mission Bay/Orakei,Total,3,651.8421052632
Auckland,Mission Bay/Orakei,Total,4,851.25
Auckland,Mission Bay/Orakei,Total,5+,NA
Auckland,Mission Bay/Orakei,Total,Total,563.4558823529
Auckland,Mt Albert/Owairaka,Apartment,1,NA
Auckland,Mt Albert/Owairaka,Apartment,2,382
Auckland,Mt Albert/Owairaka,Apartment,3,NA
Auckland,Mt Albert/Owairaka,Apartment,4,NA
Auckland,Mt Albert/Owairaka,Apartment,5+,NA
Auckland,Mt Albert/Owairaka,Apartment,Total,376.6666666667
Auckland,Mt Albert/Owairaka,Flat,1,255
Auckland,Mt Albert/Owairaka,Flat,2,359.5714285714
Auckland,Mt Albert/Owairaka,Flat,3,NA
Auckland,Mt Albert/Owairaka,Flat,4,NA
Auckland,Mt Albert/Owairaka,Flat,5+,NA
Auckland,Mt Albert/Owairaka,Flat,Total,343.78125
Auckland,Mt Albert/Owairaka,House,1,NA
Auckland,Mt Albert/Owairaka,House,2,415.9090909091
Auckland,Mt Albert/Owairaka,House,3,501.6
Auckland,Mt Albert/Owairaka,House,4,567
Auckland,Mt Albert/Owairaka,House,5+,NA
Auckland,Mt Albert/Owairaka,House,Total,496.5094339623
Auckland,Mt Albert/Owairaka,Total,1,232.6666666667
Auckland,Mt Albert/Owairaka,Total,2,379.3513513514
Auckland,Mt Albert/Owairaka,Total,3,488.75
Auckland,Mt Albert/Owairaka,Total,4,567
Auckland,Mt Albert/Owairaka,Total,5+,NA
Auckland,Mt Albert/Owairaka,Total,Total,415.9411764706
Auckland,Mt Eden,Apartment,1,322.7777777778
Auckland,Mt Eden,Apartment,2,450.8333333333
Auckland,Mt Eden,Apartment,3,NA
Auckland,Mt Eden,Apartment,4,NA
Auckland,Mt Eden,Apartment,5+,NA
Auckland,Mt Eden,Apartment,Total,429.75
Auckland,Mt Eden,Flat,1,309.7
Auckland,Mt Eden,Flat,2,430
Auckland,Mt Eden,Flat,3,467.1428571429
Auckland,Mt Eden,Flat,4,NA
Auckland,Mt Eden,Flat,5+,NA
Auckland,Mt Eden,Flat,Total,371.85
Auckland,Mt Eden,House,1,NA
Auckland,Mt Eden,House,2,NA
Auckland,Mt Eden,House,3,636.3888888889
Auckland,Mt Eden,House,4,733.3333333333
Auckland,Mt Eden,House,5+,NA
Auckland,Mt Eden,House,Total,628.0263157895
Auckland,Mt Eden,Total,1,307.1212121212
Auckland,Mt Eden,Total,2,445
Auckland,Mt Eden,Total,3,579.4444444444
