2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Halfway Bush,170.46741,-45.85693
Halswell Domain,172.57336,-43.57904
Halswell South,172.56809,-43.58717
Halswell West,172.54579,-43.58432
Hamilton Central,175.27656,-37.78405
Hamilton East,175.29809,-37.79115
Hamilton Lake,175.27592,-37.8023
Hamlin,174.8314,-36.91115
Hampden,170.81799,-45.32548
Hampstead,171.75646,-43.91159
Hamurana,176.18105,-38.00915
Hanmer Springs,172.82305,-42.523
Happy Valley-Owhiro Bay,174.75804,-41.33419
Harania East,174.82383,-36.95976
Harania North,174.81025,-36.96173
Harania West,174.81673,-36.96706
Harbourside,170.51094,-45.88305
Harewood,172.56925,-43.48622
Harihari,170.5284,-43.10724
Haruru Falls,174.0544,-35.27962
Hastings Central,176.84522,-39.63968
Hataitai North,174.79742,-41.30168
Hatfields Beach,174.69012,-36.56957
Haumoana,176.95097,-39.63197
Haupiri,171.91402,-42.59207
Hauraki,174.77761,-36.79864
Hauraki Plains,175.4682,-37.32692
Hautapu,175.46174,-37.85733
Havelock,173.76684,-41.28308
Havelock Hills,176.86847,-39.70839
Havelock North Central,176.88971,-39.67258
Hawea,169.34035,-44.34259
Hawera North,174.28284,-39.58212
Hawera South,174.27676,-39.59315
Hawera West,174.2626,-39.57901
Hawthorndale,168.3894,-46.40743
Hawthornden,172.54942,-43.50802
Haywards-Manor Park,174.9756,-41.15006
Heathcote Valley,172.70353,-43.57627
Hector-Ngakawau,171.88209,-41.60564
Heidelberg,168.38182,-46.42989
Helensburgh,170.48275,-45.84562
Helensville,174.45914,-36.67405
Helensville South,174.4642,-36.697
Henderson North,174.63174,-36.87619
Henderson South,174.62989,-36.88661
Henderson West,174.61651,-36.88423
Hendersons Basin,172.58782,-43.57709
Herald,174.6398,-36.77951
Herekino,173.21493,-35.20186
Heretaunga,175.01813,-41.13844
Heretaunga-Silverstream,175.01164,-41.14865
Herne Bay,174.7319,-36.84459
High St-Stuart St,170.4948,-45.87634
Highbrook,174.88205,-36.9379
Highbury,175.58547,-40.3596
Highfield,171.22083,-44.38894
Highfield Park,172.6451,-43.47775
Highland Park,174.90938,-36.90457
Highlands Park,174.10497,-39.08237
Hikuai,175.69931,-37.11397
Hikurangi,174.28886,-35.59766
Hillcrest,176.23454,-38.14967
Hillcrest West,175.31751,-37.7969
Hillmorton,172.58836,-43.55927
Hillpark,174.89942,-37.01512
Hillsborough East,174.76162,-36.91987
Hillsborough West,174.75151,-36.91713
Hilltop,176.09675,-38.69886
Himatangi Beach,175.23683,-40.37216
Hinds,171.57021,-43.93419
Hingaia,174.91952,-37.0772
Hinuera,175.71064,-37.88043
Hobsonville East,174.64855,-36.80153
Hobsonville South,174.64499,-36.80313
Hokianga North,173.4502,-35.30752
Hokianga South,173.56603,-35.49836
Hokitika Rural,170.96017,-42.78794
Hokitika Urban,170.97187,-42.71867
Hokitika Valley,171.13033,-42.92834
Hokonui,168.39656,-46.04793
Hokowhitu East,175.63863,-40.36099
Hokowhitu Lagoon,175.63164,-40.37007
Hokowhitu West,175.62357,-40.36093
Holborn,174.97737,-41.16892
Holmwood,172.60838,-43.5195
Homai East,174.88154,-37.02118
Homai West,174.8746,-37.01919
Homebush-Te Ore Ore,175.68608,-40.9689
Homedale East,174.96121,-41.27227
Homedale West,174.9467,-41.27903
Hoon Hay,172.60237,-43.56225
Hoon Hay South,172.61117,-43.57115
Hope,173.15455,-41.35325
Horahora,174.29098,-35.73434
Hornby North,172.5292,-43.53803
Hornby South,172.52978,-43.54784
Horokiwi,174.84967,-41.20675
Horotiu,175.18144,-37.70416
Horsham Downs,175.26497,-37.72048
Hospital Hill,176.90217,-39.48969
Houhora,173.07058,-34.79272
Howick Central,174.9269,-36.90045
Howick South,174.9175,-36.90983
Howick West,174.91743,-36.89511
Huapai,174.54428,-36.77036
Hunterville,175.56849,-39.93419
Huntington,175.28204,-37.73447
Huntly East,175.19,-37.54306
Huntly West,175.14539,-37.55962
Hunua,175.06363,-37.1193
Hurunui,172.54388,-42.89731
Hutt Central,174.90814,-41.21133
Hyde,170.25939,-45.32584
Hyperion,174.91627,-37.02781
Ilam,172.56872,-43.52255
Inangahua Junction,171.9899,-41.8472
Inangahua Valley,171.95252,-42.10291
Inglewood,174.20148,-39.15653
Inland Water-Lake Alexandrina,170.45189,-43.93824
Inland Water-Lake Ellesmere North,172.44602,-43.78
Inland Water-Lake Ellesmere South,172.55646,-43.79837
Inland Water-Lake Hauroko,167.28304,-45.96305
Inland Water-Lake Hawea,169.3194,-44.46982
Inland Water-Lake Manapouri,167.49284,-45.51834
Inland Water-Lake Ohau,169.86031,-44.23495
Inland Water-Lake Rotorua,176.27179,-38.07903
Inland Water-Lake Taupo,175.89443,-38.79564
Inland Water-Lake Te Anau,167.7307,-45.21081
Inland Water-Lake Tekapo,170.52306,-43.88821
Inland Water-Lake Waikaremoana,177.07088,-38.76769
Inland Water-Lake Wairarapa,175.24146,-41.21398
Inland Water-Lake Wakatipu,168.55638,-45.06886
Inland Water-Lake Wanaka,169.11151,-44.52718
Inlet-Bluff Harbour,168.33099,-46.5914
Inlet-Tauranga Harbour,176.16575,-37.71967
Inlet-Tauranga Harbour North,175.99491,-37.62393
Inner Peninsula,170.56053,-45.89372
Insoll,175.29236,-37.76338
Iona,176.88233,-39.68082
Irongate,176.81047,-39.64209
Isel Park,173.24416,-41.32451
Island Bay East,174.77601,-41.33698
Island Bay West,174.76832,-41.33823
Island View-Pios Beach,175.97397,-37.45035
Islands-Motutapu Rangitoto Rakino,174.98526,-36.80556
